class,cycles
fixed,107804088
fixed,106359230
fixed,106207234
fixed,106816964
fixed,105475672
fixed,105255690
fixed,103099202
fixed,104473092
fixed,103422120
fixed,104750510
fixed,103616632
fixed,108744336
fixed,104877622
fixed,108834254
fixed,104740570
fixed,103636962
fixed,103720230
fixed,104638170
fixed,107523644
fixed,102283232
fixed,104095956
fixed,106502380
fixed,103911572
fixed,106094344
fixed,106664812
fixed,104452978
fixed,105851840
fixed,105694310
fixed,103814344
fixed,104549078
fixed,103262554
fixed,104959386
fixed,103976536
fixed,106076842
fixed,103252748
fixed,105689402
fixed,104404088
fixed,103559238
fixed,106126338
fixed,102660028
fixed,103334964
fixed,105210104
fixed,106249004
fixed,110106316
fixed,106147610
fixed,104594294
fixed,106223424
fixed,105089542
fixed,106660328
fixed,105843372
fixed,106875898
fixed,105991448
fixed,106935138
fixed,106343392
fixed,106162944
fixed,105455254
fixed,103951846
fixed,104037980
fixed,103052142
fixed,106739622
fixed,102523784
fixed,106538168
fixed,105613774
fixed,104067412
fixed,103979228
fixed,106714316
fixed,104118064
fixed,106720232
fixed,105609076
fixed,104953486
fixed,104849274
fixed,102442356
fixed,108129408
fixed,108145154
fixed,104867332
fixed,105333648
fixed,105837210
fixed,107862924
fixed,106529310
fixed,105387670
fixed,107849536
fixed,105772532
fixed,106308618
fixed,106153876
fixed,104989208
fixed,106783774
fixed,105762526
fixed,107871092
fixed,106267374
fixed,105507072
fixed,106212644
fixed,106348240
fixed,105824654
fixed,105464540
fixed,107520668
fixed,105452952
fixed,103432202
fixed,105550616
fixed,105765966
fixed,107109514
fixed,104278046
fixed,105416320
fixed,104267316
fixed,104935210
fixed,105129772
fixed,104390158
fixed,105620050
fixed,105853120
fixed,106498536
fixed,107949916
fixed,105614338
fixed,104552146
fixed,106364886
fixed,105606810
fixed,104390522
fixed,107174608
fixed,105013196
fixed,105257746
fixed,105655744
fixed,105234602
fixed,105561612
fixed,104118030
fixed,105511866
fixed,106118302
fixed,104725838
fixed,107912786
fixed,106765274
fixed,102881284
fixed,104922814
fixed,105984640
fixed,104481986
fixed,103912948
fixed,105887042
fixed,104865580
fixed,105386138
fixed,104047352
fixed,108999606
fixed,106791618
fixed,104320502
fixed,105816360
fixed,104920558
fixed,105087602
fixed,106933648
fixed,110440958
fixed,106680296
fixed,105931644
fixed,105865762
fixed,107091970
fixed,105541392
fixed,104857240
fixed,106053270
fixed,108384596
fixed,105493456
fixed,105609124
fixed,104355386
fixed,104611038
fixed,103691276
fixed,103874504
fixed,107007540
fixed,106065984
fixed,106629810
fixed,105143536
fixed,104336356
fixed,104516606
fixed,103538532
fixed,104816440
fixed,103382478
fixed,104692152
fixed,107042802
fixed,103937976
fixed,105425366
fixed,105923440
fixed,106618864
fixed,105017950
fixed,102898858
fixed,103379256
fixed,102891936
fixed,104004238
fixed,108201410
fixed,104843698
fixed,105171888
fixed,106052774
fixed,106310430
fixed,104868826
fixed,104138162
fixed,105811388
fixed,105613128
fixed,102790694
fixed,104078680
fixed,104633294
fixed,105219746
fixed,105203620
fixed,104698676
fixed,104669450
fixed,105042394
fixed,108881792
fixed,105873372
fixed,103799274
fixed,104325564
fixed,104374430
fixed,105832484
fixed,106538840
fixed,104826904
fixed,105088680
fixed,117975376
fixed,148955038
fixed,104253130
fixed,104786722
fixed,108953562
fixed,106624982
fixed,103957158
fixed,106835354
fixed,104993408
fixed,103939180
fixed,107738664
fixed,103214768
fixed,106307356
fixed,106092118
fixed,106166084
fixed,104240466
fixed,104240726
fixed,105171788
fixed,105331156
fixed,104701126
fixed,103291772
fixed,106161258
fixed,103713948
fixed,104230470
fixed,102518286
fixed,104365604
fixed,107027368
fixed,104995734
fixed,103772910
fixed,104813854
fixed,102980082
fixed,104173452
fixed,105285752
fixed,105004116
fixed,102652858
fixed,101985956
fixed,102198798
fixed,104489216
fixed,105946950
fixed,105501850
fixed,104214772
fixed,105120080
fixed,105391596
fixed,105288348
fixed,105535520
fixed,103509498
fixed,101615894
fixed,108992204
fixed,105237802
fixed,105122262
fixed,103909014
fixed,105505408
fixed,104361812
fixed,107758776
fixed,106647246
fixed,105966472
fixed,105079802
fixed,105936686
fixed,107257064
fixed,105091508
fixed,105714100
fixed,104755754
fixed,105921574
fixed,106287710
fixed,105955608
fixed,105969870
fixed,105485314
fixed,105914982
fixed,103896248
fixed,106312410
fixed,105655996
fixed,105561800
fixed,106287046
fixed,105869176
fixed,106821468
fixed,104308388
fixed,104769636
fixed,104849208
fixed,103806028
fixed,105481132
fixed,105457228
fixed,104595760
fixed,105184112
fixed,103128852
fixed,105892564
fixed,103845848
fixed,106545504
fixed,105795474
fixed,104063822
fixed,105873228
fixed,105784768
fixed,105686476
fixed,107007356
fixed,104874572
fixed,102538864
fixed,104502956
fixed,105144064
fixed,103989444
fixed,105160758
fixed,105020716
fixed,105517886
fixed,104713436
fixed,104081966
fixed,103699592
fixed,106218366
fixed,106123736
fixed,105991088
fixed,107087826
fixed,109499266
fixed,104501660
fixed,106110572
fixed,103467108
fixed,103450074
fixed,103296356
fixed,103124048
fixed,100771320
fixed,102520796
fixed,107546300
fixed,105097870
fixed,103286062
fixed,103826890
fixed,102808060
fixed,102661466
fixed,106331692
fixed,104641892
fixed,102370766
fixed,104669316
fixed,104066810
fixed,104609664
fixed,104504468
fixed,104339700
fixed,104902098
fixed,104048712
fixed,104015896
fixed,104538468
fixed,105043014
fixed,103494310
fixed,103855656
fixed,106785670
fixed,106518952
fixed,106008922
fixed,106363804
fixed,109135692
fixed,106239064
fixed,106980546
fixed,106786804
fixed,107663748
fixed,106603020
fixed,112252418
fixed,108423508
fixed,106360520
fixed,107181478
fixed,107120728
fixed,107238744
fixed,106524806
fixed,106960198
fixed,105858094
fixed,106532552
fixed,105636354
fixed,104792376
fixed,103393100
fixed,105581370
fixed,105725388
fixed,109345260
fixed,107087776
fixed,104992370
fixed,105498412
fixed,108799196
fixed,108312138
fixed,109654322
fixed,107929952
fixed,107305310
fixed,109469814
fixed,108270876
fixed,106257206
fixed,106846508
fixed,105713044
fixed,104079294
fixed,107949762
fixed,105924036
fixed,106859862
fixed,109205406
fixed,108784056
fixed,106697762
fixed,106274196
fixed,108873486
fixed,105649154
fixed,107579166
fixed,108126210
fixed,106827978
fixed,107085084
fixed,107408052
fixed,111012998
fixed,105982974
fixed,106035484
fixed,106569094
fixed,105837656
fixed,105611016
fixed,107353212
fixed,107766596
fixed,108552516
fixed,107804738
fixed,107040840
fixed,107245706
fixed,108319504
fixed,107294922
fixed,107373934
fixed,107197362
fixed,108051468
fixed,108866822
fixed,107467732
fixed,106987200
fixed,107510932
fixed,108514872
fixed,107032776
fixed,106991960
fixed,107439034
fixed,107617882
fixed,107263130
fixed,109165904
fixed,108513218
fixed,108154988
fixed,107147942
fixed,106077122
fixed,105921002
fixed,106086806
fixed,107676252
fixed,106972430
fixed,106876800
fixed,107580032
fixed,110085100
fixed,107359306
fixed,106970054
fixed,107213106
fixed,106910372
fixed,108080476
fixed,107034192
fixed,107606154
fixed,107249064
fixed,110716786
fixed,106786190
fixed,106883078
fixed,107037438
fixed,107304008
fixed,106881224
fixed,107233292
fixed,106913882
fixed,106374454
fixed,106812218
fixed,107716706
fixed,106811254
fixed,106854848
fixed,107840356
fixed,106771052
fixed,106748700
fixed,107501102
fixed,106794950
fixed,107536990
fixed,108228338
fixed,106873226
fixed,107074538
fixed,112657618
fixed,107317812
fixed,107186804
fixed,107471974
fixed,107328928
fixed,108074042
fixed,107262590
fixed,106832118
fixed,107115386
fixed,108219750
fixed,107116230
fixed,107264932
fixed,107973968
fixed,107231096
fixed,107079846
fixed,106852208
fixed,107016864
fixed,106881222
fixed,107152450
fixed,107017558
fixed,109272170
fixed,107071452
fixed,107030028
fixed,106184788
fixed,110038730
fixed,104440712
fixed,104246658
fixed,105394788
fixed,107000794
fixed,107429946
fixed,107168208
fixed,107334200
fixed,110372462
fixed,107133410
fixed,106488200
fixed,107025858
fixed,105491796
fixed,106494074
fixed,107125802
fixed,106829852
fixed,108596822
fixed,107000228
fixed,106934246
fixed,104763140
fixed,106421490
fixed,107673678
fixed,107082972
fixed,106030336
fixed,104421590
fixed,106803078
fixed,104157516
fixed,104442342
fixed,105640404
fixed,105620766
fixed,103411272
fixed,103722704
fixed,104883652
fixed,113341616
fixed,103593440
fixed,106738328
fixed,106158696
fixed,104318594
fixed,105443668
fixed,106664350
fixed,103953560
fixed,105027656
fixed,110282870
fixed,104185348
fixed,105414120
fixed,104554360
fixed,105025438
fixed,104535834
fixed,102725516
fixed,103803800
fixed,112940906
fixed,104648506
fixed,104147302
fixed,103033936
fixed,105004022
fixed,104691374
fixed,105468814
fixed,104777144
fixed,104614970
fixed,103872512
fixed,104316114
fixed,102183524
fixed,103688092
fixed,101940048
fixed,104192970
fixed,109130842
fixed,103687522
fixed,103340154
fixed,103991250
fixed,104792762
fixed,105093498
fixed,105115778
fixed,103256560
fixed,105746564
fixed,106230904
fixed,104490096
fixed,103682248
fixed,105367842
fixed,104456000
fixed,103459842
fixed,107679898
fixed,103906170
fixed,104514676
fixed,105191900
fixed,108024872
fixed,106090760
fixed,103410202
fixed,105917164
fixed,104480760
fixed,101957714
fixed,107593914
fixed,105153440
fixed,105956540
fixed,103075142
fixed,104435150
fixed,103685696
fixed,109029686
fixed,105020542
fixed,103375614
fixed,105510742
fixed,105637054
fixed,104298122
fixed,103292356
fixed,104601510
fixed,107277316
fixed,104945564
fixed,103518748
fixed,103940712
fixed,111495692
fixed,104374936
fixed,104499274
fixed,106636168
fixed,104777202
fixed,104870976
fixed,103708216
fixed,103346878
fixed,106005484
fixed,104723660
fixed,103521748
fixed,103474020
fixed,108519896
fixed,106536954
fixed,105504944
fixed,104238702
fixed,103560646
fixed,104726246
fixed,104949436
fixed,105581486
fixed,104738156
fixed,103417134
fixed,105876418
fixed,103972442
fixed,103969976
fixed,104403118
fixed,106201216
fixed,106734324
fixed,105295442
fixed,104801386
fixed,108776178
fixed,104752644
fixed,103732644
fixed,104807082
fixed,105531040
fixed,103909842
fixed,103479230
fixed,104219660
fixed,105262770
fixed,111452254
fixed,103482292
fixed,104765184
fixed,105747800
fixed,106167360
fixed,103338006
fixed,104333638
fixed,104575110
fixed,104400510
fixed,104277428
fixed,103936968
fixed,105947410
fixed,106130922
fixed,106652822
fixed,105003536
fixed,102752050
fixed,108280646
fixed,107000600
fixed,106445376
fixed,114695490
fixed,105987418
fixed,106064348
fixed,105709126
fixed,106324900
fixed,106308890
fixed,104937498
fixed,108265260
fixed,106953678
fixed,106259272
fixed,106352612
fixed,105429164
fixed,105378212
fixed,106921730
fixed,106408412
fixed,107306990
fixed,106591260
fixed,106929824
fixed,106406236
fixed,105895796
fixed,106695448
fixed,106830446
fixed,105919560
fixed,107991400
fixed,114100632
fixed,106347130
fixed,106007702
fixed,106206106
fixed,106236912
fixed,106702620
fixed,106248336
fixed,107031782
fixed,106497106
fixed,106237408
fixed,105915256
fixed,106156756
fixed,106775138
fixed,106381404
fixed,106514648
fixed,106020220
fixed,108262164
fixed,105916086
fixed,106480346
fixed,106524570
fixed,105801526
fixed,105906990
fixed,106557546
fixed,106926334
fixed,111431752
fixed,106932374
fixed,105403716
fixed,107061050
fixed,106219990
fixed,106477794
fixed,105802696
fixed,106279630
fixed,106985640
fixed,105465536
fixed,106287634
fixed,104848250
fixed,106059484
fixed,105388756
fixed,104879912
fixed,104829430
fixed,113371260
fixed,104621588
fixed,106692480
fixed,105938358
fixed,105445462
fixed,104706274
fixed,105124450
fixed,105466242
fixed,104829336
fixed,105262116
fixed,105560822
fixed,105554104
fixed,103336984
fixed,105829032
fixed,102942074
fixed,106587416
fixed,106287222
fixed,104719500
fixed,104254206
fixed,105521958
fixed,104608144
fixed,104341810
fixed,103607688
fixed,105057036
fixed,104953306
fixed,105019972
fixed,104744300
fixed,105177176
fixed,103106336
fixed,105057406
fixed,104974244
fixed,104712874
fixed,104457250
fixed,103549940
fixed,103894056
fixed,105638154
fixed,105355548
fixed,103189036
fixed,104704502
fixed,102150182
fixed,105489988
fixed,104944352
fixed,101669190
fixed,100855016
fixed,104696934
fixed,101970734
fixed,104702894
fixed,106139354
fixed,102296210
fixed,105091500
fixed,102787216
fixed,103868694
fixed,104191604
fixed,105214898
fixed,105020556
fixed,104858626
fixed,110732702
fixed,105197078
fixed,104376050
fixed,106159680
fixed,105633074
fixed,102307420
fixed,104540462
fixed,104779632
fixed,103057690
fixed,102873366
fixed,104335914
fixed,105403324
fixed,105174386
fixed,104164398
fixed,104147570
fixed,103499388
fixed,104661850
fixed,106109016
fixed,105677726
fixed,103458738
fixed,105552994
fixed,104284540
fixed,105453878
fixed,106345874
fixed,106455744
fixed,105872164
fixed,106410596
fixed,106504394
fixed,105165690
fixed,105731160
fixed,105102458
fixed,106816352
fixed,105777558
fixed,105605456
fixed,105992362
fixed,106830656
fixed,105472442
fixed,105332892
fixed,106424204
fixed,106412200
fixed,106048226
fixed,105039006
fixed,105285930
fixed,106214692
fixed,106221150
fixed,103937600
fixed,105475910
fixed,104842672
fixed,105603584
fixed,105133768
fixed,106522072
fixed,105625170
fixed,104328742
fixed,103390488
fixed,105874464
fixed,104474022
fixed,105253312
fixed,103585212
fixed,103045288
fixed,104723784
fixed,105634110
fixed,104464072
fixed,105285558
fixed,106096952
fixed,105332744
fixed,106388314
fixed,107067996
fixed,105303366
fixed,105682622
fixed,105346894
fixed,104239298
fixed,106123364
fixed,105450012
fixed,105132024
fixed,105309100
fixed,106126530
fixed,105382712
fixed,104305624
fixed,109364096
fixed,104892320
fixed,105085126
fixed,109093986
fixed,104370768
fixed,103363524
fixed,103512730
fixed,105025254
fixed,104730642
