class,cycles
fixed,7842350
fixed,7818084
fixed,7824424
fixed,7991494
fixed,7892876
fixed,7777602
fixed,7957588
fixed,7827058
fixed,8074166
fixed,7928974
fixed,7824386
fixed,7836042
fixed,7842134
fixed,7811604
fixed,7579370
fixed,7803872
fixed,7810324
fixed,7839298
fixed,7795180
fixed,7830606
fixed,7809780
fixed,7860524
fixed,7867650
fixed,7841260
fixed,7862148
fixed,7724326
fixed,7797986
fixed,7750278
fixed,7848392
fixed,7797150
fixed,7787066
fixed,7774248
fixed,7825414
fixed,7851820
fixed,7763770
fixed,9175992
fixed,7826480
fixed,7814576
fixed,7859678
fixed,7821040
fixed,7889056
fixed,7434256
fixed,7606638
fixed,7744196
fixed,7886048
fixed,7737924
fixed,7803518
fixed,7698862
fixed,7864644
fixed,8051240
fixed,7777120
fixed,7582206
fixed,7888298
fixed,7855310
fixed,7863930
fixed,7800642
fixed,7860986
fixed,7776506
fixed,7655566
fixed,7848782
fixed,7829212
fixed,7864186
fixed,7765778
fixed,7814152
fixed,7828496
fixed,7592286
fixed,7275068
fixed,7460636
fixed,7821744
fixed,7877838
fixed,7852114
fixed,7785982
fixed,7845716
fixed,7767084
fixed,7809400
fixed,7771002
fixed,7894150
fixed,7800920
fixed,7888536
fixed,7818622
fixed,7819808
fixed,7831364
fixed,7810024
fixed,7882972
fixed,7802820
fixed,7896760
fixed,7812234
fixed,7857158
fixed,7753290
fixed,7907404
fixed,7803730
fixed,7891826
fixed,7803762
fixed,7817050
fixed,7855420
fixed,7903992
fixed,7656972
fixed,7730350
fixed,7899982
fixed,7751704
fixed,7736910
fixed,7739660
fixed,7790018
fixed,7811294
fixed,7747978
fixed,7562822
fixed,7811314
fixed,7676742
fixed,7916748
fixed,7772718
fixed,7690672
fixed,7769576
fixed,7807354
fixed,7723576
fixed,7845304
fixed,7827026
fixed,7609058
fixed,7814988
fixed,7821988
fixed,7811934
fixed,7845724
fixed,7834508
fixed,7815666
fixed,7923546
fixed,7805650
fixed,8299830
fixed,7840152
fixed,7974172
fixed,7854270
fixed,7888522
fixed,7803414
fixed,7790562
fixed,7819626
fixed,7724206
fixed,7815748
fixed,7904324
fixed,7793268
fixed,7892094
fixed,7825708
fixed,7871430
fixed,7701098
fixed,7831932
fixed,7836702
fixed,7899342
fixed,7819140
fixed,7748088
fixed,7451542
fixed,7542832
fixed,7785870
fixed,7751418
fixed,7810302
fixed,7751766
fixed,7924592
fixed,7814630
fixed,7812704
fixed,7819476
fixed,7812778
fixed,7811138
fixed,7847546
fixed,7738886
fixed,7627502
fixed,7594328
fixed,7842294
fixed,7828350
fixed,7870674
fixed,7686690
fixed,7707262
fixed,7811480
fixed,7892994
fixed,7834990
fixed,7869008
fixed,7806162
fixed,7758118
fixed,7729498
fixed,7515850
fixed,7694272
fixed,7835544
fixed,7885764
fixed,7900262
fixed,7812580
fixed,7791710
fixed,7837046
fixed,7608374
fixed,7870830
fixed,7772518
fixed,7870722
fixed,7817512
fixed,7869182
fixed,7815984
fixed,7805930
fixed,7810706
fixed,7805664
fixed,7820938
fixed,7768522
fixed,7824406
fixed,7929712
fixed,7853916
fixed,7888280
fixed,7811364
fixed,7810530
fixed,7743980
fixed,7811390
fixed,8009664
fixed,7887348
fixed,7819412
fixed,7871682
fixed,7760678
fixed,7786150
fixed,7758964
fixed,7919564
fixed,7822168
fixed,7912262
fixed,7774978
fixed,7733954
fixed,7995168
fixed,7868128
fixed,7905460
fixed,7685080
fixed,7820852
fixed,7837620
fixed,7801262
fixed,7816586
fixed,7914544
fixed,7858776
fixed,7810210
fixed,7876774
fixed,8184260
fixed,8014724
fixed,7821648
fixed,7795790
fixed,7782870
fixed,7704382
fixed,7820354
fixed,7819950
fixed,7864278
fixed,7809024
fixed,7816108
fixed,7863444
fixed,7862100
fixed,7838292
fixed,7814874
fixed,7738088
fixed,7828972
fixed,7870978
fixed,7723276
fixed,7819392
fixed,7958090
fixed,7774664
fixed,7784294
fixed,7914714
fixed,7903170
fixed,7829164
fixed,7872922
fixed,7961192
fixed,7805536
fixed,7816350
fixed,7822400
fixed,7535522
fixed,7284838
fixed,7808396
fixed,7772270
fixed,7807780
fixed,7699276
fixed,7822452
fixed,7838790
fixed,7814322
fixed,7855048
fixed,7874604
fixed,7889446
fixed,7869800
fixed,7764738
fixed,7802142
fixed,7728214
fixed,7812818
fixed,7816456
fixed,7837378
fixed,7859506
fixed,7825870
fixed,7744790
fixed,7850568
fixed,7725208
fixed,7801624
fixed,7818492
fixed,7905558
fixed,7753790
fixed,7716826
fixed,7814584
fixed,7804008
fixed,7762904
fixed,7854452
fixed,7750194
fixed,7731908
fixed,7810682
fixed,7761628
fixed,7733810
fixed,7821562
fixed,7760890
fixed,7814902
fixed,7874780
fixed,7827936
fixed,7739536
fixed,7806970
fixed,7785242
fixed,7821996
fixed,7795370
fixed,7615298
fixed,7818064
fixed,7932610
fixed,7817802
fixed,7667180
fixed,7835134
fixed,7620048
fixed,7706722
fixed,7835494
fixed,7853480
fixed,7817610
fixed,7953570
