class,cycles
fixed,254221844
fixed,258454570
fixed,248014096
fixed,247671720
fixed,249201094
fixed,250778922
fixed,251378528
fixed,246164032
fixed,249380228
fixed,250500538
fixed,248777192
fixed,247988284
fixed,249826650
fixed,245972034
fixed,245561412
fixed,246190264
fixed,246562574
fixed,247633576
fixed,248762348
fixed,246913510
fixed,249152752
fixed,245221040
fixed,246705666
fixed,246902034
fixed,247069500
fixed,248807930
fixed,246208666
fixed,245212516
fixed,243535896
fixed,246317988
fixed,242882362
fixed,245714802
fixed,249047432
fixed,251590410
fixed,247967986
fixed,245676304
fixed,242142472
fixed,244237276
fixed,245830828
fixed,250617658
fixed,245389800
fixed,246797666
fixed,244185118
fixed,242751254
fixed,247921190
fixed,247812218
fixed,243631116
fixed,244684284
fixed,246230304
fixed,245045578
fixed,245861748
fixed,249039496
fixed,245526662
fixed,247795456
fixed,247691364
fixed,250054640
fixed,252208882
fixed,252869188
fixed,249281220
fixed,247298052
fixed,245585740
fixed,248296096
fixed,249329506
fixed,248759594
fixed,248340128
fixed,248626246
fixed,248580716
fixed,249424024
fixed,248703908
fixed,248051816
fixed,247665836
fixed,247729672
fixed,247274952
fixed,246013124
fixed,244727988
fixed,248719052
fixed,246989292
fixed,246984508
fixed,244911482
fixed,245066868
fixed,245726542
fixed,247416704
fixed,247509396
fixed,249505094
fixed,248615966
fixed,251119618
fixed,246893710
fixed,248928940
fixed,246882838
fixed,246987226
fixed,247240758
fixed,248554288
fixed,247908682
fixed,246377948
fixed,247181812
fixed,247739546
fixed,248846398
fixed,247819038
fixed,243897618
fixed,249039032
fixed,248352300
fixed,247715812
fixed,246167004
fixed,257363222
fixed,250387758
fixed,246416186
fixed,248715082
fixed,249746078
fixed,245184198
fixed,249005090
fixed,247840784
fixed,250053574
fixed,247433162
fixed,252994284
fixed,251326276
fixed,248297600
fixed,254346050
fixed,249876060
fixed,247363026
fixed,246588758
fixed,248554736
fixed,251171728
fixed,250035240
fixed,249214212
fixed,250226346
fixed,248426222
fixed,246977744
fixed,248771624
fixed,249219488
fixed,251965960
fixed,248819024
fixed,252216958
fixed,252198444
fixed,252017214
fixed,250165746
fixed,252098416
fixed,248840644
fixed,249152798
fixed,246854606
fixed,250180426
fixed,247107130
fixed,249469650
fixed,248462104
fixed,248050036
fixed,248855526
fixed,247452640
fixed,251155532
fixed,249819622
fixed,251166048
fixed,248687012
fixed,248281918
fixed,248828338
fixed,245272916
fixed,249611124
