class,cycles
fixed,24195266
fixed,23582760
fixed,24155144
fixed,24102810
fixed,23681160
fixed,24680150
fixed,23907202
fixed,23799310
fixed,23836056
fixed,24133180
fixed,23820712
fixed,24398108
fixed,23933586
fixed,24046822
fixed,23586208
fixed,23008658
fixed,23520374
fixed,23592612
fixed,23809284
fixed,23591306
fixed,23053740
fixed,23326832
fixed,23333762
fixed,22499702
fixed,22772210
fixed,22281534
fixed,23000720
fixed,22389118
fixed,23711362
fixed,23921286
fixed,26377912
fixed,23487556
fixed,22400352
fixed,23631408
fixed,23354416
fixed,23289942
fixed,23701636
fixed,22959452
fixed,22746472
fixed,22910618
fixed,22946714
fixed,23260004
fixed,23224880
fixed,23283334
fixed,23825228
fixed,23786782
fixed,23799400
fixed,23825306
fixed,23438554
fixed,23839750
fixed,23028812
fixed,23636516
fixed,23279184
fixed,23446210
fixed,22703580
fixed,23395978
fixed,23559840
fixed,23492828
fixed,22825134
fixed,23084272
fixed,23010532
fixed,23956828
fixed,23798388
fixed,24026842
fixed,23882886
fixed,23933622
fixed,24278394
fixed,23751134
fixed,24477518
fixed,23615498
fixed,23975608
fixed,24339538
fixed,24438620
fixed,25457612
fixed,24016558
fixed,23751780
fixed,22827626
fixed,23003398
fixed,23303422
fixed,23584248
fixed,22233094
fixed,23297744
fixed,22949848
fixed,23313556
fixed,23853916
fixed,23669138
fixed,23776998
fixed,22934390
fixed,25199032
fixed,23471500
fixed,23209486
fixed,23000902
fixed,22804658
fixed,22355300
fixed,23383598
fixed,22754010
fixed,23029704
fixed,23906228
fixed,23807276
fixed,23923464
fixed,24203316
fixed,23649856
fixed,23298794
fixed,23385964
fixed,24004794
fixed,23664724
fixed,23221918
fixed,22863582
fixed,23629526
fixed,23554862
fixed,23177286
fixed,22145618
fixed,23882828
fixed,23849972
fixed,24008434
fixed,23664850
fixed,23466810
fixed,23664266
fixed,23833848
fixed,23747232
fixed,23611452
fixed,23869570
fixed,23910280
fixed,23661960
fixed,24782182
fixed,23833982
fixed,23023966
fixed,23335806
fixed,24070742
fixed,22809638
fixed,23162578
fixed,23544450
fixed,23653294
fixed,23376010
fixed,23037922
fixed,23707222
fixed,23812056
fixed,23741128
fixed,22960710
fixed,23368174
fixed,23362494
fixed,22885314
fixed,23313608
fixed,22909564
fixed,23541230
fixed,22829124
fixed,23706168
fixed,23885160
fixed,23810172
fixed,24083500
fixed,23860178
fixed,24316738
fixed,23835956
fixed,23780198
fixed,24108142
fixed,24000344
fixed,25740612
fixed,23962292
fixed,23834102
fixed,24014660
fixed,23832728
fixed,24456262
fixed,24086492
fixed,23870584
fixed,24015448
fixed,23802180
fixed,24122308
fixed,25662164
fixed,24774104
fixed,24146010
fixed,24167790
fixed,23861740
fixed,23929558
fixed,23818010
fixed,23943476
fixed,23862094
fixed,24057550
fixed,23788440
fixed,24062432
fixed,23829054
fixed,23610886
fixed,23851198
fixed,23791670
fixed,23849262
fixed,25134222
fixed,23916270
fixed,24371860
fixed,24235658
fixed,24357388
fixed,24192840
fixed,23834146
fixed,23892390
fixed,23864004
fixed,23885210
fixed,23886756
fixed,24036334
fixed,23837506
fixed,23775746
fixed,24143444
fixed,23912620
fixed,23073708
fixed,23041678
fixed,22572862
fixed,22875000
fixed,23240604
fixed,23011086
fixed,23900616
fixed,23663428
fixed,23478806
fixed,23304256
fixed,23661210
fixed,23217844
fixed,26805168
fixed,23808090
fixed,23827952
fixed,23643078
fixed,23656124
fixed,23625276
fixed,23628192
fixed,23641014
fixed,23636396
fixed,23726276
fixed,23969696
fixed,23663370
fixed,23650508
fixed,23634484
fixed,24845244
fixed,24069586
fixed,23636706
fixed,23641958
fixed,23851594
fixed,24109572
fixed,23769346
fixed,23666682
fixed,23610954
fixed,23646208
fixed,23625662
fixed,23625644
fixed,23604996
fixed,23760438
fixed,23614472
fixed,23619896
fixed,23914956
fixed,23648500
fixed,23769522
fixed,23784674
fixed,23934064
fixed,24208130
fixed,23966106
fixed,23799468
fixed,23856752
fixed,23701024
fixed,23765666
fixed,23867600
fixed,23672746
fixed,23780902
fixed,23721262
fixed,23928028
fixed,23722488
fixed,23683946
fixed,23659968
fixed,24009606
fixed,24071242
fixed,23864262
fixed,23685948
fixed,23745766
fixed,24335838
fixed,24242328
fixed,23727726
fixed,23722588
fixed,23891590
fixed,23829932
fixed,23760190
fixed,23710264
fixed,23688854
fixed,23706610
fixed,23773724
fixed,23728494
fixed,23726918
fixed,23675076
fixed,23713530
fixed,23789702
fixed,23870210
fixed,23686282
fixed,23799806
fixed,25201286
fixed,24010422
fixed,23870886
fixed,23735544
fixed,24150684
fixed,23869150
fixed,23827858
fixed,23861678
fixed,23767600
fixed,23638710
fixed,23689004
fixed,23710874
fixed,23686702
fixed,23721496
fixed,23699578
fixed,23715992
fixed,24018430
fixed,23741052
fixed,23840614
fixed,23697026
fixed,23676360
fixed,25585820
fixed,23979156
fixed,23692482
fixed,23687828
fixed,24339372
fixed,24355926
fixed,24154710
fixed,24039716
fixed,24035566
fixed,23781736
fixed,24244056
fixed,23686930
fixed,23778200
fixed,23710128
fixed,23686260
fixed,23688154
fixed,23796046
fixed,23709794
fixed,23820242
fixed,23989330
fixed,23680720
fixed,23795502
fixed,23821622
fixed,23700374
fixed,23983608
fixed,23888082
fixed,23737104
fixed,23753878
fixed,23815536
fixed,24118412
fixed,23841630
fixed,24146312
fixed,23881234
fixed,23752266
fixed,23873126
fixed,23701952
fixed,23750912
fixed,23702198
fixed,23850434
fixed,23921012
fixed,23785040
fixed,23741040
fixed,23718454
fixed,23829868
fixed,23756420
fixed,23797032
fixed,23706746
fixed,23757160
fixed,23786380
fixed,23854686
fixed,24005704
fixed,23779856
fixed,23815932
fixed,23693586
fixed,23811332
fixed,23866952
fixed,23750348
fixed,24127820
fixed,23895164
fixed,23881234
fixed,23847544
fixed,23772212
fixed,23781098
fixed,23851230
fixed,23755600
fixed,23727870
fixed,23788040
fixed,23687428
fixed,23729054
fixed,23753306
fixed,23690498
fixed,24155276
fixed,24171048
fixed,24164910
fixed,23926710
fixed,23804596
fixed,23723686
fixed,23844126
fixed,23940614
fixed,23859466
fixed,24028698
fixed,24173322
fixed,24168270
fixed,24203878
fixed,24023132
fixed,23903844
fixed,23850214
fixed,23275456
fixed,23256124
fixed,23729330
fixed,23599194
fixed,23536978
fixed,23760700
fixed,22861724
fixed,23479778
fixed,22903302
fixed,23512950
fixed,23762822
fixed,23773014
fixed,23930852
fixed,23838424
fixed,23947886
fixed,23991860
fixed,24210998
fixed,24409132
fixed,24034188
fixed,24014510
fixed,24032642
fixed,24843976
fixed,23922594
fixed,23941562
fixed,23948390
fixed,23965836
fixed,23907752
fixed,23792186
fixed,24071362
fixed,23958722
fixed,23692126
fixed,23838672
fixed,23771628
fixed,23888030
fixed,23711850
fixed,23895892
fixed,23340964
fixed,23614054
fixed,23331404
fixed,23072352
fixed,23577940
fixed,23675618
fixed,23739088
fixed,23078938
fixed,22679476
fixed,23440630
fixed,23710968
fixed,23796648
fixed,23739634
fixed,23990068
fixed,23749954
fixed,23876538
fixed,23999490
fixed,23843624
fixed,23994928
fixed,23681670
fixed,23944980
fixed,23993224
fixed,22853626
fixed,23737228
fixed,23434658
fixed,23227482
fixed,23381252
fixed,23306668
fixed,22834492
fixed,23369930
fixed,23614424
fixed,23206472
fixed,23834680
fixed,23374646
fixed,23290152
fixed,23102202
fixed,23328628
fixed,23308726
fixed,23332450
fixed,22898248
fixed,22772922
fixed,22882704
fixed,22686514
fixed,22624970
fixed,23446384
fixed,22887826
fixed,23010324
fixed,22280796
fixed,23360790
fixed,23242124
fixed,23458018
fixed,25543500
fixed,23975544
fixed,23646836
fixed,22605472
fixed,22648000
fixed,23650786
fixed,23235584
fixed,22537900
fixed,22212286
fixed,23015888
fixed,22652336
fixed,22869528
fixed,23320076
fixed,22681352
fixed,22750186
fixed,23038066
fixed,22775000
fixed,23779562
fixed,22618830
fixed,22736306
fixed,23186298
fixed,23421336
fixed,22295064
fixed,22558314
fixed,22621786
fixed,23300666
fixed,23329290
fixed,23691376
fixed,23236942
fixed,22367592
fixed,22726596
fixed,22753594
fixed,22833430
fixed,22708770
fixed,21995838
fixed,22127860
fixed,23416764
fixed,22584166
fixed,24218738
fixed,24986276
fixed,23263380
fixed,22886484
fixed,23880024
fixed,23053240
fixed,23124872
fixed,23079620
fixed,22283178
fixed,23283722
fixed,23286806
fixed,23184544
fixed,23272698
fixed,22466672
fixed,22961932
fixed,22709718
fixed,23622500
fixed,25566726
fixed,22962128
fixed,23686638
fixed,22831682
fixed,22757544
fixed,22528952
fixed,23027574
fixed,23287398
fixed,23430830
fixed,22996722
fixed,23329206
fixed,23366752
fixed,23734160
fixed,23575532
fixed,22957426
fixed,23253392
fixed,23338926
fixed,23747128
fixed,22765236
fixed,23249442
fixed,25698730
fixed,23764672
fixed,22912558
fixed,22994078
fixed,22832018
fixed,22792990
fixed,22364586
fixed,22653528
fixed,23525984
fixed,22476238
fixed,22294316
fixed,22133056
fixed,22341496
fixed,25241342
fixed,24411276
fixed,23530226
fixed,22899780
fixed,23132366
fixed,23056468
fixed,22630102
fixed,23245984
fixed,22394650
fixed,22109644
fixed,23856272
fixed,23458626
fixed,22854700
fixed,23248028
fixed,22900450
fixed,23007918
fixed,23049038
fixed,23245848
fixed,23569946
fixed,23669010
fixed,23718420
fixed,23667054
fixed,23234606
fixed,23429484
fixed,23206178
fixed,23133232
fixed,23390540
fixed,25282294
fixed,23317832
fixed,22923002
fixed,23532330
fixed,23239872
fixed,22724130
fixed,23163242
fixed,23531910
fixed,23167396
fixed,22823356
fixed,22224748
fixed,22411442
fixed,22553174
fixed,23268954
fixed,23281794
fixed,23192146
fixed,22432124
fixed,22446686
fixed,23613370
fixed,22392636
fixed,23619940
fixed,23056852
fixed,23093084
fixed,22682320
fixed,22524292
fixed,23149242
fixed,23078708
fixed,22607400
fixed,23057416
fixed,23009238
fixed,23029934
fixed,23669910
fixed,23647598
fixed,23471060
fixed,22539036
fixed,23008508
fixed,22721692
fixed,22281444
fixed,22870650
fixed,22974878
fixed,23008470
fixed,22941212
fixed,22646016
fixed,22813766
fixed,22906532
fixed,23417954
fixed,22807292
fixed,22846094
fixed,23084294
fixed,23061056
fixed,22296092
fixed,22811866
fixed,23418502
fixed,22756834
fixed,23694898
fixed,22644910
fixed,22671404
fixed,23171446
fixed,23462696
fixed,23889378
fixed,23174290
fixed,23026444
