phase,group,index,time_ms,cycles
decaps,G0_fixedKey_fixedInput,9,136.814662,288953974
encaps,A_fixedKey_randomInput,7,87.145391,184052520
decaps,A_fixedKey_randomInput,7,56.125670,118538044
encaps,A_fixedKey_randomInput,8,40.274196,85066184
decaps,A_fixedKey_randomInput,8,65.997805,139387934
keygen,C_freshKey_randomInput,8,22.328408,47159970
encaps,C_freshKey_randomInput,8,35.077502,74084128
decaps,C_freshKey_randomInput,8,73.826072,155922934
keygen,B_freshKey_fixedInput,8,19.948452,42141800
encaps,B_freshKey_fixedInput,8,32.086369,67766902
decaps,B_freshKey_fixedInput,8,53.626976,113260732
encaps,A_fixedKey_randomInput,9,153.583645,324373606
decaps,A_fixedKey_randomInput,9,48.805571,103077836
keygen,B_freshKey_fixedInput,9,13.163055,27800900
encaps,B_freshKey_fixedInput,9,37.362264,78909672
decaps,B_freshKey_fixedInput,9,131.012504,276699458
keygen,C_freshKey_randomInput,9,64.141974,135468682
encaps,C_freshKey_randomInput,9,31.578565,66694316
decaps,C_freshKey_randomInput,9,67.133497,141786626
