class,cycles
fixed,51860064
fixed,52588242
fixed,53965046
fixed,51381684
fixed,51888440
fixed,51590670
fixed,52754960
fixed,52792240
fixed,52317310
fixed,51170558
fixed,52145114
fixed,51736504
fixed,51040788
fixed,55970166
fixed,53312088
fixed,51895064
fixed,51266908
fixed,52473034
fixed,51119862
fixed,52678132
fixed,52427912
fixed,52240828
fixed,52768934
fixed,51460090
fixed,51956204
fixed,61300476
fixed,52770044
fixed,52479750
fixed,52893470
fixed,52602598
fixed,51672252
fixed,50904178
fixed,52653490
fixed,52334110
fixed,51222908
fixed,50975406
fixed,51477776
fixed,51963766
fixed,52236898
fixed,52147244
fixed,51857078
fixed,52826956
fixed,51179376
fixed,51789548
fixed,52102876
fixed,52276676
fixed,51708626
fixed,52160416
fixed,52275392
fixed,51813944
fixed,52303782
fixed,51825100
fixed,51720432
fixed,51207112
fixed,52245676
fixed,51239338
fixed,51922160
fixed,52324110
fixed,52467030
fixed,52595734
fixed,53450994
fixed,51575388
fixed,51277162
fixed,52698912
fixed,52487894
fixed,52595068
fixed,61509264
fixed,52547146
fixed,52687868
fixed,51443140
fixed,51251828
fixed,51235538
fixed,52450616
fixed,51828510
fixed,51263914
fixed,51910272
fixed,52972442
fixed,51486378
fixed,51909504
fixed,51955040
fixed,53323806
fixed,51233806
fixed,52432796
fixed,52666566
fixed,52351190
fixed,54367448
fixed,53195370
fixed,50788262
fixed,51672650
fixed,51629700
fixed,52870326
fixed,52133136
fixed,51444882
fixed,52158120
fixed,51634010
fixed,52505640
fixed,53057634
fixed,53021178
fixed,52069406
fixed,51578320
fixed,52648864
fixed,51756554
fixed,52387462
fixed,52508536
fixed,53112188
fixed,52492000
fixed,53145622
fixed,51111446
fixed,52402268
fixed,51536830
fixed,51438444
fixed,51638060
fixed,52533102
fixed,52297406
fixed,50312080
fixed,52104464
fixed,51628312
fixed,58716002
fixed,55952556
fixed,59220648
fixed,60754724
fixed,52540234
fixed,59851872
fixed,53379864
fixed,53150084
fixed,53034730
fixed,53315576
fixed,50983556
fixed,52269984
fixed,54292842
fixed,51552102
fixed,52402496
fixed,52038064
fixed,52267720
fixed,50228256
fixed,51983838
fixed,51719132
fixed,52509100
fixed,52319454
fixed,52139430
fixed,51709470
fixed,51555764
fixed,52111588
fixed,51690150
fixed,51636672
fixed,52651982
fixed,53710096
fixed,52439570
fixed,51817122
fixed,52454972
fixed,51663464
fixed,51840796
fixed,51270144
fixed,51947168
fixed,51251716
fixed,53078074
fixed,51815440
fixed,51734186
fixed,52037140
fixed,52210152
fixed,52813316
fixed,52107634
fixed,52817292
fixed,51713378
fixed,51607238
fixed,52583284
fixed,51996302
fixed,51346206
fixed,50837038
fixed,51227998
fixed,51149920
fixed,53526920
fixed,53007988
fixed,52586982
fixed,51104074
fixed,52327652
fixed,52042352
fixed,52212174
fixed,52449742
fixed,52137932
fixed,52276968
fixed,51349322
fixed,50403384
fixed,52248392
fixed,51541028
fixed,52337602
fixed,51803696
fixed,51833812
fixed,51890438
fixed,51708934
fixed,52871848
fixed,52265232
fixed,51982068
fixed,51891530
fixed,57250072
fixed,52217808
fixed,51499058
fixed,50587306
fixed,51300144
fixed,52591610
fixed,52966594
fixed,52907530
fixed,54848724
fixed,52721028
fixed,51929924
fixed,53203236
fixed,53016616
fixed,52534780
fixed,51984256
fixed,51881994
fixed,52372886
fixed,51098680
fixed,51791028
fixed,51579706
fixed,52673586
fixed,52319014
fixed,52011932
fixed,52605710
fixed,51273118
fixed,52138762
fixed,52598426
fixed,52607648
fixed,51801008
fixed,52257166
fixed,51546652
fixed,51628390
fixed,52808566
fixed,52300562
fixed,51252870
fixed,51244310
fixed,52444684
fixed,51698572
fixed,52236148
fixed,59814522
fixed,51179424
fixed,55307128
fixed,52007878
fixed,51728708
fixed,51138392
fixed,51271816
fixed,52105062
fixed,51379018
fixed,51362918
fixed,51791070
fixed,52253248
fixed,52263064
fixed,52504198
fixed,52640298
fixed,51933690
fixed,54056382
fixed,52618408
fixed,52054090
fixed,51840318
fixed,52044668
fixed,50973338
fixed,50936048
fixed,51915168
fixed,51601076
fixed,52661600
fixed,52428892
fixed,53235706
fixed,51367604
fixed,51386916
fixed,50860096
fixed,52126520
fixed,51456078
fixed,51022114
fixed,52170094
fixed,51415148
fixed,52483404
fixed,52209082
fixed,52218898
fixed,51047766
fixed,54049544
fixed,52171818
fixed,59422826
fixed,52321076
fixed,51990776
fixed,52453526
