phase,group,index,time_ms,cycles
decaps,A_fixedKey_randomInput,6,211.604843,446911276
encaps,G0_fixedKey_fixedInput,9,0.700713,1481932
decaps,G0_fixedKey_fixedInput,9,172.041708,363353282
encaps,A_fixedKey_randomInput,7,0.512692,1087894
decaps,A_fixedKey_randomInput,7,208.672171,440717211
encaps,A_fixedKey_randomInput,8,0.621929,1314352
decaps,A_fixedKey_randomInput,8,215.399968,454926245
keygen,C_freshKey_randomInput,8,647.096153,1366672186
encaps,C_freshKey_randomInput,8,0.635929,1345344
decaps,C_freshKey_randomInput,8,201.792371,426186872
keygen,B_freshKey_fixedInput,8,571.319774,1206631226
encaps,B_freshKey_fixedInput,8,0.799257,1688690
decaps,B_freshKey_fixedInput,8,187.823060,396683710
encaps,A_fixedKey_randomInput,9,0.519616,1100508
decaps,A_fixedKey_randomInput,9,175.127433,369870524
keygen,B_freshKey_fixedInput,9,1470.256275,3105190522
encaps,B_freshKey_fixedInput,9,0.489295,1037034
decaps,B_freshKey_fixedInput,9,176.752109,373301896
keygen,C_freshKey_randomInput,9,721.692626,1524219708
encaps,C_freshKey_randomInput,9,0.655920,1386896
decaps,C_freshKey_randomInput,9,185.948850,392725344
