class,cycles
fixed,207684390
fixed,204815920
fixed,203200458
fixed,202716766
fixed,204558166
fixed,202924132
fixed,204039608
fixed,204476590
fixed,204549222
fixed,204450970
fixed,203706516
fixed,204183930
fixed,204452786
fixed,202930932
fixed,202132224
fixed,202299722
fixed,205718940
fixed,202143844
fixed,202756658
fixed,202461356
fixed,204992064
fixed,203631828
fixed,206134968
fixed,206079982
fixed,204006934
fixed,202468526
fixed,204411662
fixed,202470314
fixed,200345570
fixed,204634548
fixed,204760314
fixed,201832508
fixed,203061800
fixed,208236386
fixed,205037604
fixed,204154180
fixed,207278712
fixed,202819752
fixed,204508512
fixed,203765362
fixed,205589748
fixed,204009894
fixed,202950694
fixed,206415648
fixed,204455482
fixed,203187302
fixed,203692706
fixed,204044194
fixed,203330420
fixed,203389640
fixed,202818868
fixed,202561588
fixed,210437580
fixed,202263910
fixed,201844470
fixed,203010810
fixed,202545266
fixed,206868844
fixed,202495216
fixed,201922358
fixed,204333468
fixed,201694616
fixed,199812930
fixed,199615260
fixed,202382092
fixed,203648412
fixed,200894830
fixed,200760688
fixed,203739556
fixed,202724916
fixed,200282026
fixed,205224408
fixed,201915198
fixed,202913716
fixed,201356810
fixed,200714664
fixed,201110304
fixed,202783708
fixed,204411062
fixed,202539344
fixed,204996988
fixed,205539604
fixed,202750322
fixed,202816334
fixed,203548168
fixed,202833464
fixed,202560310
fixed,202260064
fixed,206821238
fixed,201152522
fixed,200968738
fixed,205078944
fixed,203246122
fixed,206522116
fixed,203127856
fixed,202750904
fixed,203211446
fixed,201435322
fixed,204865688
fixed,203550960
fixed,203076730
fixed,205423492
fixed,202997294
fixed,202768292
fixed,205849858
fixed,201746032
fixed,203051268
fixed,202653332
fixed,201463384
fixed,201222774
fixed,211212902
fixed,203657568
fixed,201142372
fixed,202589384
fixed,204342482
fixed,200737440
fixed,201165624
fixed,202597314
fixed,204521486
fixed,198234946
fixed,198238702
fixed,200785902
fixed,205397892
fixed,198557774
fixed,201017070
fixed,203672438
fixed,201946846
fixed,202341436
fixed,205275078
fixed,203467670
fixed,204754956
fixed,202045870
fixed,202510420
fixed,205343486
fixed,204290544
fixed,203994228
fixed,203858802
fixed,202746234
fixed,203785144
fixed,205060736
fixed,204696426
fixed,205882142
fixed,205089188
fixed,206416688
fixed,202331906
fixed,204331252
fixed,207068372
fixed,202195014
fixed,203577498
fixed,202897300
fixed,203201086
fixed,204440076
fixed,203096394
fixed,201821330
fixed,203721186
fixed,204601908
fixed,202036926
fixed,203565726
fixed,207213514
fixed,203222780
fixed,202166262
fixed,202689600
fixed,203841372
fixed,207024942
fixed,202270544
fixed,213953384
fixed,200446778
fixed,202799812
fixed,202327644
fixed,200823316
fixed,206540352
fixed,205162802
fixed,203910176
fixed,202815574
fixed,203585612
fixed,204390450
fixed,202398760
fixed,203259470
fixed,203501132
fixed,203921746
fixed,203641554
fixed,203863020
fixed,203560992
fixed,205712376
fixed,203825700
fixed,214759396
fixed,204803762
fixed,205381744
fixed,204194268
fixed,202934778
fixed,204311920
fixed,204625058
fixed,202318038
fixed,202392074
fixed,201930740
fixed,203610864
fixed,203408568
fixed,202456478
fixed,202281848
fixed,203236324
fixed,203428606
fixed,203049870
fixed,202713692
fixed,201433774
fixed,204354444
fixed,206971078
fixed,199775988
fixed,201725418
fixed,199444556
fixed,203620116
fixed,199436286
fixed,199410082
fixed,199064312
fixed,204483292
fixed,197350484
fixed,200509448
fixed,201186662
fixed,200593782
fixed,199765798
fixed,202594802
fixed,198673528
fixed,200942548
fixed,199384012
fixed,199371068
fixed,197513266
fixed,198329344
fixed,203309746
fixed,203642374
fixed,203799144
fixed,202309270
fixed,202255180
fixed,201438762
fixed,202778478
fixed,201640234
fixed,202886486
fixed,201808504
fixed,202999046
fixed,203558822
fixed,200180784
fixed,205523488
fixed,201290746
fixed,202526538
fixed,202224896
fixed,203527038
fixed,201946246
fixed,205615758
fixed,202305594
fixed,200996504
fixed,205109752
fixed,203197074
fixed,202092208
fixed,201980402
fixed,202574598
fixed,201252734
fixed,202322520
fixed,204571850
fixed,204714410
fixed,210273608
fixed,205736110
fixed,207922686
fixed,204318924
fixed,204417656
fixed,206122828
fixed,209810908
fixed,205169700
fixed,201883450
fixed,206388322
fixed,206317502
fixed,211133730
fixed,203936338
fixed,202888896
fixed,209699742
fixed,207443138
fixed,207429994
fixed,211994416
fixed,205155510
fixed,203975074
fixed,206526490
fixed,204724796
fixed,209450642
fixed,208441178
fixed,207375148
fixed,208805224
fixed,208014586
fixed,205134486
fixed,212151440
fixed,205708326
fixed,209657268
fixed,205681116
fixed,206152062
fixed,206232416
fixed,250641212
fixed,241276458
fixed,237721018
fixed,207822240
fixed,206033632
fixed,203667018
fixed,205469914
fixed,205754054
fixed,206767362
fixed,213698434
fixed,207768584
fixed,211271256
fixed,208300408
fixed,208725178
fixed,207030070
fixed,208249694
fixed,206602246
fixed,207259134
fixed,207463284
fixed,209080826
fixed,207932126
fixed,211422000
fixed,209490324
fixed,207156626
fixed,207816094
fixed,206749710
fixed,213041300
fixed,206767558
fixed,209124914
fixed,205594406
fixed,202649320
fixed,205883274
fixed,205658044
fixed,205389440
fixed,207037086
fixed,206018682
fixed,206676130
fixed,205029640
fixed,203386932
fixed,206326354
fixed,205319766
fixed,202459532
fixed,201094594
fixed,200995308
fixed,202218048
fixed,204591746
fixed,204597456
fixed,201537384
fixed,200427078
fixed,198024228
fixed,200675440
fixed,202602496
fixed,203364840
fixed,199243132
fixed,198457334
fixed,201340530
fixed,201975572
fixed,201919720
fixed,205615248
fixed,200962114
fixed,205315988
fixed,202641030
fixed,202253260
fixed,204349110
fixed,205446642
fixed,204439362
fixed,202080238
fixed,203859584
fixed,202562546
fixed,202938648
fixed,207917130
fixed,202122272
fixed,201925062
fixed,200721946
fixed,206194694
fixed,201450560
fixed,203496082
fixed,205848852
fixed,200174212
fixed,199737972
fixed,202858448
fixed,201151064
fixed,203621440
fixed,202095090
fixed,201753214
fixed,206408192
fixed,203668408
fixed,204469934
fixed,204734124
fixed,202883550
fixed,200819118
fixed,202327458
fixed,202441836
fixed,201246788
fixed,201575340
fixed,202422606
fixed,201649398
fixed,204330650
fixed,200913678
fixed,202958602
fixed,202934322
fixed,203515160
fixed,202514094
fixed,201297668
fixed,202956858
fixed,202185600
fixed,201546480
fixed,202532788
fixed,204942802
fixed,202027802
fixed,203346774
fixed,201403664
fixed,201611578
fixed,203967776
fixed,201329072
fixed,202557720
fixed,201315226
fixed,201971188
fixed,203442538
fixed,202773798
fixed,199733486
fixed,201199988
fixed,198914186
fixed,198737852
fixed,198524428
fixed,200629818
fixed,197022068
fixed,206227090
fixed,198752564
fixed,197600472
fixed,200791380
fixed,202121936
fixed,197646988
fixed,199101764
fixed,202700118
fixed,199608216
fixed,201849046
fixed,199888210
fixed,200755024
fixed,204705384
fixed,199363190
fixed,196008048
fixed,197612434
fixed,202545536
fixed,200103774
fixed,196544700
fixed,199507856
fixed,195690020
fixed,202029252
fixed,198496182
fixed,200225208
