class,cycles
fixed,44536568
fixed,44977982
fixed,44552682
fixed,44505648
fixed,44534874
fixed,44626720
fixed,44684954
fixed,44503044
fixed,44599378
fixed,44654236
fixed,44917958
fixed,45160398
fixed,45140086
fixed,44148404
fixed,43635944
fixed,44870006
fixed,44781192
fixed,44527576
fixed,44714994
fixed,45044664
fixed,44826170
fixed,44925326
fixed,44788018
fixed,44467010
fixed,44399066
fixed,45232062
fixed,44823356
fixed,45149714
fixed,44641276
fixed,44157568
fixed,44606362
fixed,44579152
fixed,44148618
fixed,43906568
fixed,44462112
fixed,44629106
fixed,44588946
fixed,44866716
fixed,44809572
fixed,45201328
fixed,45037534
fixed,44621378
fixed,44677596
fixed,44427726
fixed,42848956
fixed,43161470
fixed,44366054
fixed,43971782
fixed,44257536
fixed,44369702
fixed,44229760
fixed,44058974
fixed,43611310
fixed,44133696
fixed,43840794
fixed,43396782
fixed,44894320
fixed,44199926
fixed,43906816
fixed,43678714
fixed,43336316
fixed,43503324
fixed,43299946
fixed,46481568
fixed,44659054
fixed,43124404
fixed,43435360
fixed,44323242
fixed,43328424
fixed,43054188
fixed,43366730
fixed,44524504
fixed,43447894
fixed,44671934
fixed,43464808
fixed,43136476
fixed,44763288
fixed,43291030
fixed,43738412
fixed,43431188
fixed,43594934
fixed,41991164
fixed,43994020
fixed,43836498
fixed,43371764
fixed,44642574
fixed,43448320
fixed,42484642
fixed,43710650
fixed,63018292
fixed,49474980
fixed,52832924
fixed,53903574
fixed,48003806
fixed,42294204
fixed,44425474
fixed,44246932
fixed,43704784
fixed,43695834
fixed,43346538
fixed,43660136
fixed,43990014
fixed,43783596
fixed,49405190
fixed,42969724
fixed,44072938
fixed,43317808
fixed,44604608
fixed,43082920
fixed,43507844
fixed,45774452
fixed,43794236
fixed,43424134
fixed,42504876
fixed,44404032
fixed,44160324
fixed,44237756
fixed,43119596
fixed,43553486
fixed,44008436
fixed,44452442
fixed,46690310
fixed,44174168
fixed,44543652
fixed,44065160
fixed,43125888
fixed,43662940
fixed,44072222
fixed,43994144
fixed,44376914
fixed,45663738
fixed,44195618
fixed,44420062
fixed,43852188
fixed,44359122
fixed,44069662
fixed,44679080
fixed,44440394
fixed,44445184
fixed,44241208
fixed,43677760
fixed,45387284
fixed,43661410
fixed,43912482
fixed,44141642
fixed,44707428
fixed,44369250
fixed,43268972
fixed,43860668
fixed,44192636
fixed,44099298
fixed,43784712
fixed,43759564
fixed,44187048
fixed,43251944
fixed,43302344
fixed,43472332
fixed,45918220
fixed,42814782
fixed,43220996
fixed,44017234
fixed,44409418
fixed,48582530
fixed,43627098
fixed,44305712
fixed,43373324
fixed,43784086
fixed,43419852
fixed,42905640
fixed,42966424
fixed,43643802
fixed,43838176
fixed,43153522
fixed,43487888
fixed,43778378
fixed,43912008
fixed,44011392
fixed,43794852
fixed,44212418
fixed,43928722
fixed,43944546
fixed,43278996
fixed,44357378
fixed,43565894
fixed,44225724
fixed,43850356
fixed,44015670
fixed,44265110
fixed,43774494
fixed,44103272
fixed,44004426
fixed,44387696
fixed,45041276
fixed,43683608
fixed,44209372
fixed,44078660
fixed,43898660
fixed,43875244
fixed,44446956
fixed,43270410
fixed,43655606
fixed,45616268
fixed,44477382
fixed,43596822
fixed,43344390
fixed,43979282
fixed,43696422
fixed,44136998
fixed,43349142
fixed,44261136
fixed,43913532
fixed,44243924
fixed,43718494
fixed,43918512
fixed,44214700
fixed,43429216
fixed,43683390
fixed,43245942
fixed,43748556
fixed,44244086
fixed,44484330
fixed,43656734
fixed,43978962
fixed,44739908
fixed,43771042
fixed,44706292
fixed,44302610
fixed,44420274
fixed,43211984
fixed,44490082
fixed,43497814
fixed,44230364
fixed,44091690
fixed,44131570
fixed,43426840
fixed,43029762
fixed,43008796
fixed,45588190
fixed,44803060
fixed,44017830
fixed,43950736
fixed,43727466
fixed,43586960
fixed,44338588
fixed,44374348
fixed,44434606
fixed,44687538
fixed,75114072
fixed,43615230
fixed,43370548
fixed,46496704
fixed,44148618
fixed,43703392
fixed,43507240
fixed,43454336
fixed,43049378
fixed,43446588
fixed,43525902
fixed,44060516
fixed,43789084
fixed,44118480
fixed,44202662
fixed,43896708
fixed,45961714
fixed,43799086
fixed,43629422
fixed,42975930
fixed,44092486
fixed,43789882
fixed,43338200
fixed,44644104
fixed,44354176
fixed,46278574
fixed,44238672
fixed,44030750
fixed,44005524
fixed,44504058
fixed,43548218
fixed,42164216
fixed,43567922
fixed,43616278
fixed,44031234
fixed,43886550
fixed,43603464
fixed,44343232
fixed,44173312
fixed,43170218
fixed,44132430
fixed,43380816
fixed,43945692
fixed,43938478
fixed,43801660
fixed,43455874
fixed,43848970
fixed,43922808
fixed,44063858
fixed,44148350
fixed,44607900
fixed,44235974
fixed,44258576
fixed,43391942
fixed,43765878
fixed,44556418
fixed,44412168
fixed,44563240
fixed,43983320
fixed,44005234
fixed,43741270
fixed,44338390
fixed,43686842
fixed,43957976
fixed,46231918
fixed,44391318
fixed,44034642
fixed,44293050
fixed,44024206
fixed,44060060
fixed,44443438
fixed,44278402
fixed,44224062
fixed,44273054
fixed,44284822
fixed,44316588
fixed,44039302
fixed,44687538
fixed,45987682
fixed,43744608
fixed,43347560
fixed,43814964
fixed,44098484
fixed,43985452
fixed,43334288
fixed,44612406
fixed,44163034
fixed,44217256
fixed,42811880
fixed,44261278
fixed,44735718
fixed,44161542
fixed,44166020
fixed,44478826
fixed,43885864
fixed,44250418
fixed,44067952
fixed,43865408
fixed,46483608
fixed,43637816
fixed,43693598
fixed,43455154
fixed,43230694
fixed,44048612
fixed,44051286
fixed,43157328
fixed,43570016
fixed,44542774
fixed,44292566
fixed,44502244
fixed,44189164
fixed,43917476
fixed,43861500
fixed,44474298
fixed,44230126
fixed,43742400
fixed,45173672
fixed,44439176
fixed,43933302
fixed,44347672
fixed,44519792
fixed,43926302
fixed,44306642
fixed,44183670
fixed,42680134
fixed,44375182
fixed,44436958
fixed,44595718
fixed,44079292
fixed,44069610
fixed,44011802
fixed,44113670
fixed,44475388
fixed,42790008
fixed,43835832
fixed,43873362
fixed,43699788
fixed,43912538
fixed,43695300
fixed,43640632
fixed,43522646
fixed,43860592
fixed,43800804
fixed,43287944
fixed,44688926
fixed,44264468
fixed,44407870
fixed,43574062
fixed,43296752
fixed,44237024
fixed,44610338
fixed,44484174
fixed,44683716
fixed,45213230
fixed,44471524
fixed,44401048
fixed,44374156
fixed,43607006
fixed,44059540
fixed,44596952
fixed,44313192
fixed,44219902
fixed,43372004
fixed,44632314
fixed,43839418
fixed,43331534
fixed,44251450
fixed,44286642
fixed,44449246
fixed,43782946
fixed,44137712
fixed,43623200
fixed,45059162
fixed,43402104
fixed,43471806
fixed,44535882
fixed,43820712
fixed,43717272
fixed,44274630
fixed,44600250
fixed,43706546
fixed,44035236
fixed,43913400
fixed,44314902
fixed,43507230
fixed,43142802
fixed,43814976
fixed,43328914
fixed,43890128
fixed,43919528
fixed,43760952
fixed,44140802
fixed,44187698
fixed,43778450
fixed,44547232
fixed,44250330
fixed,44103626
fixed,44713076
fixed,44330244
fixed,44342226
fixed,42816326
fixed,44023054
fixed,44214068
fixed,43128352
fixed,44843562
