class,cycles
fixed,200220418
fixed,194719466
fixed,202588558
fixed,196135946
fixed,199531342
fixed,204936872
fixed,198511428
fixed,194671896
fixed,193571730
fixed,195690954
fixed,194769308
fixed,194231876
fixed,196979730
fixed,204288960
fixed,191440362
fixed,193257976
fixed,196205770
fixed,195370946
fixed,197100112
fixed,228321314
fixed,194147240
fixed,197188274
fixed,198334534
fixed,194724058
fixed,203412942
fixed,193481168
fixed,202030116
fixed,195175586
fixed,196869256
fixed,194701552
fixed,196015474
fixed,196018684
fixed,195582306
fixed,195394852
fixed,194005490
fixed,195041784
fixed,197753392
fixed,195502772
fixed,194517434
fixed,196407268
fixed,195849638
fixed,201759584
fixed,193515434
fixed,195918046
fixed,198420972
fixed,195217916
fixed,194714420
fixed,194928746
fixed,196717314
fixed,195909578
fixed,195498994
fixed,196054692
fixed,195020884
fixed,196742056
fixed,200676728
fixed,196998890
fixed,194749392
fixed,194361920
fixed,191960816
fixed,193855746
fixed,193163704
fixed,192091698
fixed,199989776
fixed,196003948
fixed,192483550
fixed,190769060
fixed,194670472
fixed,196191044
fixed,198187104
fixed,197626548
fixed,198021288
fixed,196611970
fixed,194463200
fixed,196293742
fixed,196791712
fixed,196608744
fixed,198636934
fixed,199772380
fixed,197368694
fixed,199079658
fixed,209084996
fixed,194627490
fixed,196902900
fixed,197587676
fixed,196391066
fixed,197119318
fixed,198036122
fixed,196122572
fixed,197959812
fixed,199147594
fixed,199235110
fixed,201002036
fixed,200360528
fixed,196292506
fixed,196818968
fixed,196709510
fixed,199068048
fixed,198500398
fixed,196335226
fixed,198950326
fixed,198332070
fixed,202188160
fixed,199377788
fixed,197956832
fixed,197859548
fixed,199139530
fixed,199586114
fixed,199760678
fixed,199205932
fixed,199042462
fixed,216208386
fixed,224033154
fixed,226855688
fixed,199203298
fixed,201072920
fixed,193762150
fixed,199596112
fixed,199739502
fixed,199192296
fixed,200345978
fixed,199052862
fixed,198859774
fixed,198793886
fixed,199587174
fixed,200267540
fixed,206039930
fixed,199446766
fixed,201402714
fixed,202125202
fixed,199940432
fixed,200249054
fixed,200523588
fixed,201658864
fixed,200817478
fixed,202086680
fixed,201288420
fixed,200318192
fixed,201917186
fixed,199640730
fixed,199556552
fixed,196717792
fixed,197217056
fixed,202459320
fixed,199533686
fixed,198710892
fixed,198664512
fixed,202706652
fixed,201576804
fixed,197741806
fixed,200004702
fixed,198986186
fixed,198253964
fixed,197325484
fixed,198706836
fixed,196919556
fixed,200300890
fixed,196009244
fixed,192245988
fixed,193241348
fixed,190228334
fixed,191956368
fixed,194513930
fixed,198408760
fixed,193042488
fixed,194992210
fixed,192860266
fixed,198732406
fixed,192609800
fixed,194636050
fixed,193389568
fixed,196401092
fixed,197746776
fixed,191785952
fixed,190790362
fixed,194314560
fixed,193258414
fixed,194520248
fixed,197439120
fixed,194237368
fixed,191632792
fixed,196931894
fixed,191558842
fixed,194654188
fixed,194312580
fixed,196362112
fixed,193669684
fixed,190274822
fixed,191771508
fixed,191471872
fixed,193572388
fixed,195767810
fixed,193820858
fixed,193238580
fixed,192220354
fixed,192502026
fixed,195431818
fixed,197755726
fixed,191648118
fixed,197189750
fixed,192916498
fixed,195419356
fixed,194159202
fixed,194995828
fixed,193187774
fixed,193384028
fixed,194450178
fixed,192927776
fixed,193031488
fixed,191071760
fixed,191915950
fixed,194694452
fixed,193798582
fixed,193183400
fixed,194253900
fixed,192649486
fixed,194854118
fixed,192922360
fixed,191792220
fixed,193076456
fixed,194182988
fixed,196879444
fixed,193362056
fixed,193542468
fixed,192498584
fixed,193479474
fixed,191874898
fixed,195337672
fixed,191528708
fixed,192607594
fixed,189706700
fixed,194449690
fixed,192449506
fixed,193772584
fixed,194801226
fixed,194257102
fixed,190483364
fixed,193516976
fixed,190178918
fixed,195860820
fixed,191787274
fixed,195686184
fixed,194865148
fixed,192424692
fixed,193692836
fixed,194530012
fixed,203126832
fixed,194565032
fixed,196573572
fixed,191032294
fixed,192476992
fixed,195392958
fixed,195416074
fixed,192272146
fixed,192019156
fixed,199563880
fixed,194593536
fixed,195386746
fixed,197121882
fixed,192429828
fixed,191975172
fixed,192798664
fixed,194168750
fixed,193676278
fixed,192066604
fixed,198756362
fixed,189808008
fixed,192421558
fixed,192232488
fixed,192910364
fixed,196415842
fixed,191300856
fixed,190772784
fixed,196084448
fixed,190993320
fixed,188525884
fixed,190114130
fixed,196934434
fixed,193462612
fixed,189288956
fixed,195381738
fixed,194434240
fixed,196725150
fixed,193027600
fixed,198411028
fixed,191660110
fixed,193383938
fixed,195615774
fixed,192365572
fixed,188387170
fixed,191744686
fixed,194610502
fixed,196238268
fixed,194155910
fixed,192993934
fixed,192164422
fixed,192656956
fixed,196607398
fixed,195533934
fixed,194343904
fixed,193076398
fixed,190981184
fixed,193436420
fixed,190744658
fixed,192683364
fixed,192874506
fixed,189168524
fixed,191453382
fixed,194521698
fixed,192247714
fixed,193455190
fixed,193925012
fixed,190872614
fixed,193703004
fixed,196534282
fixed,194827776
